fip,state,pop,x,y,city
51444,IA,720,-94.93586,41.997357,HALBUR
60072,IL,1926,-88.297073,42.380427,RINGWOOD
50585,IA,1542,-95.138836,42.906472,SIOUX RAPIDS
75090,TX,35260,-96.607521,33.643525,SHERMAN
46224,IN,32130,-86.257308,39.798674,SPEEDWAY
60071,IL,2658,-88.290024,42.466863,RICHMOND
60070,IL,14692,-87.914934,42.103324,PROSPECT HEIGHTS
60068,IL,37450,-87.841675,42.012171,PARK RIDGE
30303,GA,1845,-84.388846,33.752504,ATLANTA
61920,IL,22767,-88.176115,39.486933,CHARLESTON
60064,IL,26542,-87.847819,42.318901,ABBOTT PARK
60061,IL,19713,-87.971852,42.228753,VERNON HILLS
60056,IL,54459,-87.937667,42.062392,MOUNT PROSPECT
60053,IL,22502,-87.789879,42.043133,MORTON GROVE
57548,SD,1118,-99.613896,44.093692,LOWER BRULE
77331,TX,3182,-95.10858,30.602661,COLDSPRING
60050,IL,39545,-88.254429,42.345527,MC HENRY
44867,OH,1735,-83.019407,41.125876,REPUBLIC
47980,IN,1148,-86.86914,40.760608,REYNOLDS
60044,IL,8031,-87.85595,42.28196,LAKE BLUFF
60043,IL,2509,-87.716463,42.088444,KENILWORTH
60041,IL,4267,-88.158749,42.363093,INGLESIDE
60040,IL,3956,-87.814068,42.203549,HIGHWOOD
87420,NM,14805,-108.735479,36.655981,SHIPROCK
60037,IL,2598,-87.805572,42.209683,FORT SHERIDAN
60034,IL,1606,-88.417583,42.464173,HEBRON
73562,OK,891,-98.459974,34.174045,RANDLETT
33409,FL,16142,-80.096347,26.713218,HAVERHILL
60030,IL,8038,-88.037789,42.34848,GAGES LAKE
60025,IL,45038,-87.822299,42.075785,GLENVIEW
60020,IL,10336,-88.164752,42.393701,FOX LAKE
60010,IL,37323,-88.138345,42.161387,BARRINGTON
60005,IL,26742,-87.985461,42.066599,ARLINGTON HEIGHT
95815,CA,23491,-121.443543,38.613303,SACRAMENTO
60004,IL,52947,-87.979099,42.111619,ARLINGTON HEIGHT
60002,IL,18058,-88.117802,42.464811,ANTIOCH
75060,TX,41001,-96.959665,32.80231,IRVING
98629,WA,3969,-122.623972,45.880587,LA CENTER
59932,MT,1104,-114.23548,48.079329,SOMERS
93512,CA,241,-118.498526,37.798099,BENTON
59930,MT,440,-115.212859,48.917947,REXFORD
59917,MT,3747,-115.004938,48.842766,EUREKA
10573,NY,32552,-73.672045,41.007755,RYE BROOK
59916,MT,98,-113.946678,48.494028,ESSEX
59915,MT,243,-114.343938,47.818541,ELMO
97831,OR,47,-119.291646,44.660681,FOX
59912,MT,9275,-114.178394,48.353394,COLUMBIA FALLS
59910,MT,1089,-114.207049,47.758514,BIG ARM
59901,MT,33469,-114.289163,48.220939,EVERGREEN
59871,MT,422,-114.042968,45.827701,SULA
59864,MT,5682,-114.105385,47.552457,RONAN
59859,MT,2590,-114.893014,47.473448,PLAINS
59858,MT,1445,-113.3126,46.318899,PHILIPSBURG
14141,NY,7146,-78.684717,42.519982,SPRINGVILLE
68943,NE,462,-97.927057,40.028452,HARDY
99185,WA,1238,-118.706271,47.741012,WILBUR
59853,MT,530,-115.780658,48.030166,NOXON
46701,IN,6907,-85.414183,41.348217,ALBION
59848,MT,236,-114.63718,47.711209,LONEPINE
59847,MT,3783,-114.109732,46.7585,LOLO
59846,MT,562,-114.421939,47.065953,HUSON
62274,IL,7013,-89.38578,38.090327,PINCKNEYVILLE
59840,MT,9548,-114.167869,46.23953,HAMILTON
41180,KY,1654,-82.789743,38.163377,WEBBVILLE
77517,TX,3377,-95.129003,29.380259,ARCADIA
10921,NY,2698,-74.352805,41.329507,FLORIDA
59836,MT,372,-113.427017,46.943361,GREENOUGH
76035,TX,265,-97.651931,32.530714,CRESSON
47708,IN,857,-87.571973,37.971818,EVANSVILLE
59834,MT,1679,-114.268308,47.047112,FRENCHTOWN
01007,MA,10579,-72.410953,42.275103,BELCHERTOWN
70577,LA,4940,-91.928576,30.547788,PORT BARRE
98355,WA,814,-122.186056,46.709635,MINERAL
63747,MO,133,-89.837552,37.566904,FRIEDHEIM
81064,CO,383,-102.893106,37.355885,UTLEYVILLE
59829,MT,1657,-114.193784,46.028033,DARBY
59828,MT,2987,-114.095995,46.314193,CORVALLIS
59827,MT,579,-114.179966,45.912762,CONNER
63631,MO,808,-90.740936,37.763881,CALEDONIA
58029,ND,135,-97.384851,47.112803,ERIE
43115,OH,1523,-83.156282,39.490432,CLARKSBURG
59824,MT,1638,-114.15931,47.433449,MOIESE
61414,IL,813,-90.159826,41.112828,ALTONA
